"species","num.records"
"Adela collicolella",10
"Nematopogon caliginella",413
"Nemophora albiciliellus",19
"Alucita bidentata",7
"Alucita canariensis",6
"Alucita cymatodactyla",6
"Argyresthia chrysidella",8
"Argyresthia illuminatella",6
"Argyresthia laevigatellus",85
"Argyresthia minusculella",5
"Apatema impunctella",47
"Apateona hispanicum",9
"Catasphalma kautziella",24
"Symmoca alhambrella",7
"Symmoca nigromaculella",24
"Symmoca ponerias",24
"Symmoca revoluta",21
"Symmocoides don",6
"Blastobasis marmorosella",2
"Blastobasis rebeli",7
"Coleophora fuscicornis",9
"Coleophora galbulipenella",17
"Coleophora inflatae",178
"Coleophora jaeckhi",15
"Coleophora otidipenella",478
"Coleophora salinella",6
"Coleophora solidaginella",12
"Alloclita albocinctella",4
"Cosmopterix druryella",133
"Eteobalea dohrnii",9
"Sorhagenia orocorsa",142
"Achyra murcialis",1
"Agriphila cyrenaicellus",13
"Agriphila hungaricus",17
"Agriphila paleatellus",6
"Anania murcialis",7
"Ancylolomia chrysographellus",1
"Ancylolomia palpella",35
"Ancylolomia tripolitella",5
"Catharia pyrenaealis",9
"Catoptria staudingeri",72
"Chilo christophi",2
"Chilo pulverosellus",8
"Chrysocrambus dentuellus",65
"Crambus cyrnellus",1607
"Crambus monochromella",9
"Crambus palustrellus",3
"Dolicharthria concoloralis",45
"Dolicharthria daralis",9
"Elophila feili",8
"Euchromius anapiellus",32
"Euchromius gozmanyi",23
"Evergestis dusmeti",14
"Evergestis marionalis",11
"Evergestis marocana",80
"Evergestis umbrosalis",4
"Hyperlais glyceralis",22
"Hyperlais siccalis",22
"Loxostege fascialis",6
"Loxostege tesselalis",14
"Loxostege tessellalis",14
"Mesocrambus tamsi",9
"Metacrambus pallidellus",19
"Metasia corsicalis",29
"Metasia cuencalis",98
"Metasia cyrnealis",73
"Metasia gigantalis",9
"Metasia ibericalis",25
"Metasia parvalis",73
"Metasia rosealis",4
"Orenaia ventosalis",5
"Parapoynx bilinealis",1
"Pediasia bolivarellus",5
"Pediasia kenderesiensis",399
"Pediasia matricella",5
"Pediasia ribbeellus",33
"Pediasia siculellus",13
"Pediasia subflavellus",4
"Prochoristis crudalis",4
"Pyrausta acontialis",20
"Scirpophaga xanthopygata",1
"Syllepte vagans",2
"Talis quercella",9
"Udea conquisitalis",109
"Udea maurinalis",7
"Xanthocrambus delicatellus",16
"Cilix algirica",13
"Drepana binaria",1573
"Agonopterix feruliphila",23
"Elachista bidentata",34
"Elachista buvati",8
"Elachista regificella",35
"Elachista stelviella",10
"Ethmia distigmatella",5
"Haplochrois albanica",6
"Perittia piperatella",7
"Epermenia farreni",7
"Epermenia insecurella",17
"Epermenia pumila",48
"Amata transcaspica",6
"Arctia angelica",3277
"Arctia dejeanii",29
"Arctia konewkaii",3277
"Autophila anaphanes",6
"Dasychira pudibunda",3124
"Diaphora luctuosa",13
"Eilema bipuncta",4
"Eublemma amasina",1
"Euplagia quadripunctata",4192
"Euproctis kargalika",5
"Hypena palpalis",13
"Macrochilo cribumalis",1526
"Ocnogyna boeticum",70
"Ocnogyna clathrata",31
"Ocnogyna corsicum",15
"Ocnogyna loewii",31
"Orgyia corsica",3
"Pericyma squalens",3
"Rhynchina canariensis",4
"Rhynchodontodes revolutalis",10
"Schrankia balneorum",5
"Eriocottis hispanica",7
"Eriocottis paradoxella",20
"Eriocrania amentella",847
"Acanthophila alacella",451
"Acompsia muellerrutzi",4
"Bryotropha dufraneella",1120
"Bryotropha mundella",163
"Caryocolum alsinellum",110
"Caryocolum blandulellum",32
"Chionodes cerdanica",323
"Dichomeris limosella",145
"Gelechia sabinellus",323
"Gnorimoschema vastificum",1
"Isophrictis lineatellus",51
"Megacraspedus carolustertius",12
"Megacraspedus grossisquammellus",34
"Megacraspedus incertellus",41
"Megacraspedus litovalvellus",5
"Megacraspedus separatellus",41
"Megacraspedus subdolellus",34
"Megacraspedus tutti",34
"Mesophleps ochracella",7
"Metzneria expositoi",94
"Metzneria varennei",17
"Monochroa palustrella",144
"Pseudosophronia constanti",7
"Sattleria angustispina",4
"Syncopacma parawormiella",23
"Teleiodes italicus",15
"Teleiodes squamulella",34
"Teleoides luculella",809
"Aspitates taylorae",3
"Charissa macguffini",1
"Chloroclysta concinnata",40
"Eupithecia aggregata",1
"Eupithecia rosai",6
"Glacies perlinii",526
"Gymnoscelis insulariata",7
"Hydria incertata",8
"Idaea lusohispanica",9
"Idaea praecisa",78
"Idaea squalidaria",4
"Menophra canariensis",1984
"Pachycnemia benesignata",1102
"Perconia baeticaria",13
"Psodos canaliculata",56
"Scopula congruata",6
"Tephronia cremiaria",356
"Tephronia theophilaria",14
"Theria crypta",241
"Xanthorhoe inaequata",25
"Acrolepiopsis betulella",6
"Acrolepiopsis marcidella",6
"Digitivalva valeriella",3
"Glyphipterix minorella",142
"Glyphipterix umbilici",19
"Lepidotarphius perornatella",6
"Macarostola miniella",1
"Parornix eppelsheimi",44
"Phyllonorycter albidorsella",244
"Phyllonorycter argyrolobiella",12
"Phyllonorycter brevilineatella",310
"Phyllonorycter felinelle",367
"Phyllonorycter glaserorum",8
"Phyllonorycter heringiella",376
"Phyllonorycter irmella",225
"Phyllonorycter joviella",36
"Phyllonorycter mespiella",49
"Phyllonorycter milleriella",14
"Phyllonorycter pyrifoliella",10
"Phyllonorycter saportella",105
"Phyllonorycter tinctoriella",20
"Phyllonorycter viminiella",376
"Povolnýa leucapennella",94
"Antispila ampelopsifoliella",2
"Hepialus sylvina",2845
"Korscheltellus lupulinus",1872
"Pharmacis pyrenaicus",15
"Triodia amasinus",13
"Zenophassus schamyl",8
"Heterogynis dubia",124
"Gufria limosa",104
"Pachypasa limosa",104
"Trichiura ariae",1993
"Odites ternatella",4
"Polyommatus eleniae",2
"Polyommatus philippi",42
"Leucoptera aceris",17
"Leucoptera adenocarpella",10
"Leucoptera coronillae",5
"Leucoptera cytisanthi",242
"Leucoptera lotella",30
"Phyllobrostis daphneella",16
"Agnoea amparoella",31
"Agnoea fuscifrontella",4
"Agnoea xanthosoma",7
"Blastobasis evanescens",4
"Micropterix aglaella",41
"Micropterix ibericella",38
"Mompha bradleyi",15
"Mompha jurassicella",85
"Ectoedemia similigena",105
"Stigmella cyrneorolandi",12
"Stigmella thibaulti",26
"Stigmella ulmariae",95
"Trifurcula collinella",5
"Abromias platinea",182
"Abromias zeta",332
"Abrostola canariensis",6
"Acontia candefacta",41
"Acontia melanura",10
"Acrobyla kneuckeri",1
"Aedophron phlebophora",4
"Aegle semicana",13
"Agrotis characteristica",3
"Agrotis fortunata",2
"Agrotis herzogi",13
"Agrotis subspinifera",1
"Anarta furca",2
"Anarta sabulorum",4
"Apamea ferrago",7
"Apamea groenlandica",168
"Apaustis theophila",6
"Argyrogramma fracta",2
"Brachionycha sajana",2
"Brachyxanthia zelotypa",1
"Bryophila galathea",85
"Caradrina petraea",15
"Caradrina respersa",653
"Cardepia helix",5
"Cervyna cervago",9
"Chersotis capnistis",7
"Cleonymia opposita",7
"Conisania renati",11
"Cucullia canariensis",7
"Cucullia cemenelensis",7
"Cucullia lindei",3
"Cucullia spectabilisoides",2
"Deltote candidula",1224
"Denticuculus pygmina",1251
"Dichagyris celebrata",4
"Dichagyris himalayensis",2
"Dichagyris leucomelas",4
"Dichagyris lutescens",4
"Episema lederi",9
"Eugnorisma eminens",2
"Eugnorisma puengeleri",3
"Eumichtis lichenea",14
"Euxoa beatissima",4
"Euxoa canariensis",27
"Euxoa deserta",8
"Euxoa montivaga",4
"Euxoa seliginis",10
"Feralia sauberi",4
"Gerarctia poliotis",5
"Hadena behouneki",545
"Hadena rivularis",1874
"Leucochlaena hispida",258
"Leucochlaena muscosa",4
"Lycophotia cissigma",1
"Lycophotia erythrina",147
"Mamestra thalassina",1514
"Mniotype usurpatrix",8
"Mythimna alopecuri",14
"Mythimna sicula f. scirpi",674
"Mythimna sicula f. sicula",674
"Mythimna valeriae",1525
"Netrocerocora quadrangula",5
"Noctua carvalhoi",9
"Ochropleura renigera",73
"Oligia leuconephra",1
"Oncocnemis exacta",2
"Orthosia ella",1
"Oxicesta chamoenices",26
"Plusia chrysitis",1734
"Pseudohermonassa melancholica",4
"Rhyacia arenacea",8
"Rhyacia grisescens",834
"Rhyacia latens",131
"Sineugraphe exusta",3
"Standfussiana insulicola",7
"Xestia viridiscens",10
"Amynta axis",2
"Garella musculana",9
"Nola chlamytulalis",75
"Nola strigula",1120
"Nola subchlamytula",97
"Nola togatulalis",158
"Nycteola svecicus",5
"Pardoxia graellsii",36
"Paradrymonia vittata",11
"Phalera bucephalina",2535
"Arethusana boabdil",60
"Coenonympha macromma",3346
"Euphydryas beckeri",77
"Hipparchia maderensis",314
"Hyponephele huebneri",4
"Satyrus bryce",1167
"Alabonia chapmani",3
"Alabonia herculeella",10
"Aplota palpellus",40
"Batia unitella",1313
"Callimodes heringii",3
"Dasycera imitatrix",6
"Denisia luctuosella",13
"Epicallima bruandella",13
"Epicallima icterinella",7
"Kasyniana griseosericeella",28
"Minetia adamczewskii",22
"Trachypepla contritella",1
"Pseudopostega cyrneochalcopepla",6
"Eidophasia infuscata",435
"Eidophasia zukowskyi",14
"Lampronia aeripennella",4
"Apterona crenulella (bisex. Form)",7
"Bacotia sepium",190
"Bankesia douglasii",5
"Dahlica siculella",25
"Dahlica ticinensis",12
"Dahlica triquetrella (bisex. Form)",522
"Dahlica triquetrella (parth. Form)",522
"Epichnopterix montanella",369
"Luffia lapidella (bisex. Form)",116
"Luffia lapidella f. ferchaultella (parth. Form)",116
"Oreopsyche vorbrodtella",12
"Rebelia majorella",8
"Rebelia surientella",6
"Solenobia triquetrella",522
"Typhonia punctata",5
"Pterolonche albescens",8
"Pterolonche lutescentella",3
"Agdistis delicatulella",10
"Agdistis manicata",3
"Capperia hellenica",9
"Capperia maratonica",5
"Capperia polonica",7
"Capperia taurica",12
"Crombrugghia adamczewskii",56
"Crombrugghia pravieli",184
"Emmelina argoteles",13
"Hellinsia coniodactylus",17
"Lantanophaga pusillidactylus",21
"Merrifieldia icterodactylus",163
"Oxyptilus laetus",149
"Platyptilia iberica",6
"Platyptilia isodactylus",35
"Platyptilia pallidactyla",2250
"Stenoptilia millieridactyla",23
"Stenoptilia scabiodactylus",922
"Stenoptilia serotinus",922
"Tabulaephorus punctinervis",20
"Tabulaephorus tyrrhenica",20
"Acrobasis romanella",53
"Aglossa brabanti",53
"Aglossa dimidiatus",1
"Aglossa rabatalis",53
"Ancylosis harmoniella",5
"Archiephestia adpiscinella",10
"Assara terebella",952
"Bradyrrhoa cantenerella",16
"Cathayia insularum",13
"Cremnophila flaviciliella",5
"Ephestia disparella",38
"Epischidia fulvostrigella",6
"Epischnia adultella",5
"Eurhodope cruentella",15
"Euzophera costivittella",1
"Euzophera lunulella",26
"Euzopherodes vapidella",11
"Homoeosoma inustella",11
"Homoeosoma miguelensis",3
"Huertasiella italogallicella",8
"Hypochalcia bruandella",28
"Hypotia leucographalis",5
"Hypotia massilialis",6
"Hypotia miegi",11
"Hypsopygia incarnatalis",25
"Lamoria jordanis",7
"Maradana fuscolimbalis",17
"Melathrix coenulentella",5
"Metallostichodes bicolorella",26
"Myelois cribratella",15
"Nyctegretis ruminella",5
"Orthophygia glaucinalis",48
"Paramaxillaria amatrix",4
"Pempelia brephiella",26
"Pempeliella ardosiella",24
"Peoria cremoricosta",1
"Phycitodes bentinckella",9
"Phycitodes subcretacella",1
"Pima leucoloma",75
"Polyocha strigosa",18
"Psorosa mediterranella",14
"Pterothrixidia impurella",7
"Pterothrixidia squalidella",40
"Stemmatophora rungsi",40
"Stemmatophora syriacalis",12
"Synaphe diffidalis",20
"Synaphe lorquinalis",6
"Synaphe predotalis",9
"Uncinus hispanella",6
"Valdovecaria hispanicella",18
"Actias isabellae",438
"Scythris bornicensis",7
"Scythris chablaisensis",77
"Scythris confluens",5
"Scythris crypta",9
"Scythris flabella",5
"Scythris lafauryi",5
"Scythris parafuscoaenea",5
"Scythris villari",12
"Chamaesphecia colpiformis",6
"Chamaesphecia foeniformis",5
"Pyropteron sicula",616
"Neomariania oecophorella",6
"Neomariania scriptella",5
"Cephimallota colonella",1
"Dryadaula pactolia",11
"Eudarcia atlantica",2
"Euplocamus ophisa",26
"Infurcitinea corleyi",6
"Infurcitinea marcunella",5
"Monopis pallidella",6
"Novotinea liguriella",5
"Novotinea muricolella",4
"Reisserita zernyi",11
"Coptotriche berberella",6
"Acleris brigantiensis",1514
"Acleris tripunctana",1230
"Adoxophyes reticulana",929
"Aethes piercei",57
"Aethes sanguinana",7
"Ancylis paraobtusana",334
"Aneuxanthis locupletana",5
"Aphelia peramplana",8
"Apotomis geminata",1
"Argyroploce mengelana",1
"Aterpia circumfluxana",1
"Celypha paludicolella",5
"Choristoneura simonyi",5
"Clepsis canariensis",5
"Clepsis striolana",29
"Cnephasia hellenica",8
"Cnephasia minima",6
"Cochylichroa hoffmannana",4
"Commophila aeneana",64
"Cydia coronillana",43
"Cydia internana",72
"Cydia millenniana",11
"Cydia mogeae",197
"Cydia oxytropidana",5
"Cydia strigulatana",27
"Cydia vallesiaca",23
"Diceratura amaranthica",8
"Dichrorampha distinctana",5
"Dichrorampha inexpectana",5
"Dichrorampha letarfensis",5
"Eana clercana",7
"Epinotia obraztsovi",15
"Eucosma monstratana",5
"Grapholita internana",72
"Lobesia occidentis",5
"Paramesia alhamana",14
"Pelochrista cannatana",1
"Pelochrista fusculana",5
"Pelochrista obscura",8
"Phiaris inquietana",3
"Phiaris rivulana",1224
"Phiaris valesiana",788
"Phtheochroa ecballiella",5
"Phtheochroa fulvicinctana",4
"Phtheochroa simoniana",9
"Rhyacionia miniatana",8
"Thiodia couleruana",10
"Thiodiodes seeboldi",7
"Kessleria brevicornuta",9
"Parahyponomeuta bakeri",46
"Zygaena anthyllidis",38
"Zygaena centaureae",23
"Zygaena contaminei",23
"Zygaena corsica",13
"Zygaena dorycnii",36
"Zygaena hilaris",365
"Zygaena ignifera",28
"Zygaena occitanica",489
"Zygaena orana",9
"Zygaena oxytropis",59
"Zygaena rhadamanthus",593
