species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
Adaina microdactyla,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",36.0,44.0,2.0,,,197951.0,,,,,,,
Agdistis adactyla,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",13.0,15.0,1.0,,,258122.0,,,,,,,
Agdistis bennetii,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",2.0,2.0,1.0,,,354197.0,,,,,,,
Agdistis betica,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"FE,LF",,,,,gap,,,,,,,,
Agdistis bifurcatus,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"FE,LF",1.0,2.0,0.0,,,1157970.0,,,,,,,
Agdistis bigoti,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"FE,LF",,,,,gap,,,,,,,,
Agdistis cypriota,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"FE,LF",,,,,gap,,,,,,,,
Agdistis delicatulella,Arthropoda,Insecta,Lepidoptera,Pterophoridae,LF,,,,,gap,,,,,,,,
Agdistis espunae,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"FE,LF",,,,,gap,,,,,,,,
Agdistis frankeniae,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",1.0,2.0,1.0,,,981259.0,,,,,,,
Agdistis gittia,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"FE,LF",,,,,gap,,,,,,,,
Agdistis glaseri,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",1.0,1.0,0.0,,,526169.0,,,,,,,
Agdistis halodelta,Arthropoda,Insecta,Lepidoptera,Pterophoridae,LF,,,,,gap,,,,,,,,
Agdistis hartigi,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"FE,LF",,,,,gap,,,,,,,,
Agdistis heydenii,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",5.0,9.0,1.0,BEL,,508712.0,,,,,,,
Agdistis hulli,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"FE,LF",,,,,gap,,,,,,,,
Agdistis ingens,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"FE,LF",,,,,gap,,,,,,,,
Agdistis intermedia,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",2.0,3.0,0.0,,,787047.0,,,,,,,
Agdistis manicata,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"FE,LF",,,,,gap,,,,,,,,
Agdistis melitensis,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",1.0,2.0,0.0,,,517552.0,,,,,,,
Agdistis meridionalis,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",6.0,6.0,2.0,,,205687.0,,,,,,,
Agdistis morini,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",1.0,1.0,0.0,,,787046.0,,,,,,,
Agdistis neglecta,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",4.0,6.0,1.0,,,362507.0,,,,,,,
Agdistis nigra,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"FE,LF",,,,,gap,,,,,,,,
Agdistis paralia,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"FE,LF",,,,,gap,,,,,,,,
Agdistis protai,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"FE,LF",,,,,gap,,,,,,,,
Agdistis pseudocanariensis,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",1.0,1.0,0.0,,,526168.0,,,,,,,
Agdistis salsolae,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"FE,LF",,,,,gap,,,,,,,,
Agdistis satanas,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",13.0,13.0,1.0,,,362506.0,,,,,,,
Agdistis symmetrica,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"FE,LF",,,,,gap,,,,,,,,
Agdistis tamaricis,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",7.0,14.0,1.0,,,362515.0,,,,,,,
Amblyptilia acanthadactyla,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF,iNat",43.0,63.0,2.0,,,197912.0,,,,,,,
Amblyptilia punctidactyla,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",38.0,41.0,3.0,,,179030.0,,,,,,,
Buckleria paludum,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",17.0,19.0,1.0,,,205728.0,,,,,,,
Buszkoiana capnodactylus,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",4.0,6.0,1.0,LF,,344845.0,,,,,,,
Calyciphora acarnella,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"FE,LF",,,,,gap,,,,,,,,
Calyciphora adamas,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",1.0,1.0,0.0,,,517553.0,,,,,,,
Calyciphora albodactylus,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",13.0,14.0,2.0,,,286141.0,,,,,,,
Calyciphora homoiodactyla,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",1.0,1.0,0.0,,,508713.0,,,,,,,
Calyciphora nephelodactyla,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",5.0,8.0,1.0,,,324125.0,,,,,,,
Calyciphora xanthodactyla,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"FE,LF",,,,,gap,,,,,,,,
Capperia bonneaui,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"FE,LF",,,,,gap,,,,,,,,
Capperia britanniodactylus,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",5.0,6.0,1.0,,,197798.0,,,,,,,
Capperia celeusi,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",38.0,38.0,1.0,,,255738.0,,,,,,,
Capperia fusca,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",12.0,13.0,1.0,LF,,722625.0,,,,,,,
Capperia hellenica,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",0.0,3.0,0.0,,gap,471658.0,,,,,,,
Capperia lorana,Arthropoda,Insecta,Lepidoptera,Pterophoridae,BOLD,1.0,1.0,0.0,,,508714.0,,,,,,,
Capperia loranus,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",2.0,6.0,1.0,LF,,560339.0,,,,,,,
Capperia maratonica,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"FE,LF",,,,,gap,,,,,,,,
Capperia marginellus,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"FE,LF",,,,,gap,,,,,,,,
Capperia polonica,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"FE,LF",,,,,gap,,,,,,,,
Capperia taurica,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"FE,LF",,,,,gap,,,,,,,,
Capperia trichodactyla,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",3.0,3.0,1.0,,,347245.0,,,,,,,
Capperia washbournei,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"FE,LF",0.0,1.0,0.0,BEL,gap,480543.0,,,,,,,
Capperia zelleri,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"FE,LF",,,,,gap,,,,,,,,
Cnaemidophorus rhododactyla,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF,iNat",42.0,51.0,2.0,,,52731.0,,,,,,,
Crombrugghia adamczewskii,Arthropoda,Insecta,Lepidoptera,Pterophoridae,BOLD,0.0,4.0,0.0,,gap,285555.0,,,,,,,
Crombrugghia buvati,Arthropoda,Insecta,Lepidoptera,Pterophoridae,BOLD,26.0,29.0,1.0,,,285549.0,,,,,,,
Crombrugghia distans,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",33.0,41.0,2.0,LF,,285558.0,517558.0,,,,,,
Crombrugghia gibeauxi,Arthropoda,Insecta,Lepidoptera,Pterophoridae,BOLD,0.0,4.0,0.0,,gap,285552.0,,,,,,,
Crombrugghia jaeckhi,Arthropoda,Insecta,Lepidoptera,Pterophoridae,BOLD,5.0,10.0,1.0,,,285553.0,,,,,,,
Crombrugghia kollari,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE",5.0,5.0,1.0,,,518735.0,,,,,,,
Crombrugghia laetus,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",9.0,16.0,1.0,LF,,285556.0,,,,,,,
Crombrugghia lantoscanus,Arthropoda,Insecta,Lepidoptera,Pterophoridae,BOLD,2.0,7.0,0.0,,,285557.0,,,,,,,
Crombrugghia pravieli,Arthropoda,Insecta,Lepidoptera,Pterophoridae,BOLD,0.0,7.0,0.0,,gap,285551.0,,,,,,,
Crombrugghia propedistans,Arthropoda,Insecta,Lepidoptera,Pterophoridae,BOLD,1.0,5.0,1.0,,,285550.0,,,,,,,
Crombrugghia reichli,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"FE,LF",,,,,gap,,,,,,,,
Crombrugghia tristis,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE",19.0,30.0,2.0,,,285554.0,,,,,,,
Crombugghia lantoscana,Arthropoda,Insecta,Lepidoptera,Pterophoridae,BOLD,1.0,1.0,0.0,,,1138325.0,,,,,,,
Emmelina argoteles,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",0.0,2.0,0.0,,gap,517554.0,,,,,,,
Emmelina monodactyla,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF,iNat",257.0,270.0,4.0,,,52224.0,,,,,,,
Geina didactyla,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",15.0,16.0,1.0,,,224882.0,,,,,,,
Gillmeria armeniaca,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"FE,LF",,,,,gap,,,,,,,,
Gillmeria macrornis,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"FE,LF",,,,,gap,,,,,,,,
Gillmeria miantodactylus,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",3.0,3.0,1.0,,,404707.0,,,,,,,
Gillmeria ochrodactyla,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF,iNat",22.0,23.0,1.0,,,404708.0,224888.0,,,,,,
Gillmeria pallidactyla,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF,iNat",84.0,87.0,1.0,,,77580.0,,,,,,,
Gypsochares baptodactylus,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",5.0,5.0,2.0,,,894259.0,,,,,,,
Gypsochares bigoti,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",3.0,3.0,1.0,,,362505.0,,,,,,,
Gypsochares nielswolffi,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"FE,LF",,,,,gap,,,,,,,,
Hellinsia alpinus,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,LF",1.0,2.0,1.0,,,352323.0,,,,,,,
Hellinsia buphthalmi,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,LF",1.0,2.0,0.0,,,352324.0,,,,,,,
Hellinsia carphodactyla,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",31.0,39.0,1.0,,,275501.0,255673.0,,,,,,
Hellinsia chrysocomae,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",1.0,2.0,1.0,,,352322.0,,,,,,,
Hellinsia cinerariae,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,LF",2.0,2.0,1.0,,,352321.0,,,,,,,
Hellinsia coniodactylus,Arthropoda,Insecta,Lepidoptera,Pterophoridae,LF,,,,,gap,,,,,,,,
Hellinsia didactylites,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",21.0,23.0,1.0,,,179024.0,,,,,,,
Hellinsia distinctus,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",5.0,8.0,1.0,,,344461.0,,,,,,,
Hellinsia inulae,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",1.0,1.0,0.0,,,1074189.0,,,,,,,
Hellinsia inulaevorus,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",1.0,2.0,0.0,,,352320.0,,,,,,,
Hellinsia lienigianus,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",23.0,27.0,5.0,BEL,,275499.0,354679.0,,,,,,
Hellinsia osteodactylus,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",46.0,53.0,1.0,BEL,,179025.0,1066700.0,,,,,,
Hellinsia pectodactylus,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",73.0,78.0,5.0,,,88596.0,,,,,,,
Hellinsia tephradactyla,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",29.0,32.0,2.0,,,179085.0,,,,,,,
Lantanophaga pusillidactylus,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"FE,LF",,,,,gap,,,,,,,,
Marasmarcha aibasovi,Arthropoda,Insecta,Lepidoptera,Pterophoridae,LF,,,,,gap,,,,,,,,
Marasmarcha cinnamomeus,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"FE,LF",,,,,gap,,,,,,,,
Marasmarcha colossa,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"FE,LF",,,,,gap,,,,,,,,
Marasmarcha ehrenbergianus,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"FE,LF",,,,,gap,,,,,,,,
Marasmarcha fauna,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",1.0,2.0,0.0,,,517555.0,,,,,,,
Marasmarcha lunaedactyla,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",12.0,17.0,3.0,,,205689.0,,,,,,,
Marasmarcha oxydactylus,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",4.0,5.0,1.0,,,517556.0,,,,,,,
Marasmarcha rhypodactylus,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"FE,LF",,,,,gap,,,,,,,,
Marasmarcha samarcandica,Arthropoda,Insecta,Lepidoptera,Pterophoridae,LF,,,,,gap,,,,,,,,
Megalorhipida leucodactylus,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",70.0,87.0,3.0,,,77366.0,,,,,,,
Merrifieldia baliodactyla,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",24.0,30.0,1.0,LF,,907591.0,197910.0,,,,,,
